episode,pitch_no,company,ashneer,namita,anupam,vineeta,aman,peyush,ghazal,no_of_presenters,male_presenter,female_presenter,deal_amount,deal_equity,deal_debt
21,67,"The Quirky Nari",0,0,1,1,0,0,0,1,0,1,35,24,0
22,68,"Hair Originals",1,0,1,0,0,1,0,3,3,0,0,0,0
22,69,"Poo de Cologne",0,0,0,0,0,0,0,1,0,1,0,0,0
22,70,"Moonshine Meads",0,0,0,0,0,0,0,2,2,0,0,0,0
22,71,Falhari,0,0,0,0,0,0,0,3,3,0,0,0,0
23,72,"Namhya Foods",0,0,0,0,1,0,0,1,0,1,0,0,0
23,73,"Urban Monkey",0,0,0,0,0,0,0,1,1,0,0,0,0
23,74,"Guardian Gears",0,0,0,0,0,0,0,2,1,1,0,0,0
23,75,"Modern Myth",0,0,0,0,0,0,0,2,1,1,0,0,0
24,76,"The Sass Bar",0,0,1,0,0,0,1,1,0,1,50,35,0
24,77,"KG Agrotech",0,0,0,0,0,1,0,2,2,0,10,40,20
24,78,"Nuskha Kitchen",0,0,0,0,0,0,0,2,1,1,0,0,0
25,79,PawsIndia,0,0,1,0,0,0,0,1,0,1,0,0,0
25,80,"Sunfox Technologies",0,1,1,1,0,1,1,4,4,0,100,6,0
25,81,Alpino,0,0,0,0,0,0,0,4,4,0,0,0,0
26,82,"Isak Fragrances",0,0,0,0,0,1,0,1,0,1,0,0,0
26,83,"Julaa Automation",0,0,0,0,0,0,0,3,3,0,0,0,0
26,84,"Rare Planet",0,1,0,0,0,0,0,2,2,0,65,3,0
27,85,"Theka Coffee",0,0,0,0,0,0,0,1,1,0,0,0,0
27,86,"Watt Technovations",0,1,1,0,0,1,1,1,1,0,101,4,0
27,87,"Aliste Technologies",0,0,0,0,0,0,0,6,6,0,0,0,0
27,88,"Insurance Samadhan",0,0,0,0,0,1,0,3,2,1,100,4,0
28,89,"Humpy A2",0,0,0,1,0,1,1,3,2,1,0,0,0
28,90,"Kunafa World",0,0,0,0,0,0,0,2,1,1,0,0,0
28,91,"Gold Safe Solutions Ind.",0,0,0,1,0,1,1,2,2,0,50,30,0
29,92,"Wakao Foods",0,1,0,1,0,0,1,1,1,0,0,0,0
29,93,"PDD Falcon",0,0,0,0,0,0,0,2,1,1,0,0,0
29,94,"PlayBox TV",0,0,0,0,0,0,0,2,2,0,0,0,0
30,95,"Sippline Drinking Shields",0,0,0,0,0,0,0,1,1,0,0,0,0
30,96,"Kabaddi Adda",0,1,0,1,0,0,0,2,2,0,80,6,0
30,97,"Shades of Spring",0,0,0,0,0,0,0,2,1,1,0,0,0
30,98,Scholify,0,0,0,0,0,0,0,1,1,0,0,0,0
31,99,Scrapshala,0,0,0,0,0,0,0,2,0,2,0,0,0
31,100,Sabjikothi,0,0,0,0,0,0,0,2,1,1,0,0,0
31,101,AyuRythm,0,0,0,0,1,0,0,3,3,0,75,2.68,0
31,102,Astrix,0,0,0,0,0,0,0,2,1,1,0,0,0
32,103,"Thea and Sid",0,0,0,0,0,0,0,2,0,2,0,0,0
32,104,"Experential Etc",0,0,0,0,0,0,0,2,2,0,0,0,0
32,105,GrowFitter,0,0,0,0,1,0,0,2,2,0,50,2,0
32,106,"Med Tech",0,0,0,0,0,0,0,2,1,1,0,0,0
33,107,"Colour Me Mad",0,1,0,0,0,0,0,2,1,1,0,0,0
33,108,Mavi's,0,0,0,0,0,0,0,2,1,1,0,0,0
33,109,"Tweek Labs",1,0,1,0,0,1,0,4,4,0,60,10,0
33,110,Proxgy,1,0,0,0,0,1,0,2,2,0,100,10,0
34,111,"Nomad Food Project",1,1,0,1,0,0,1,2,2,0,40,20,0
34,112,"Twee in One",0,0,0,0,0,0,0,1,0,1,0,0,0
34,113,"Green Protein",0,0,0,0,0,0,0,2,1,1,0,0,0
34,114,On2Cook,0,0,0,0,0,0,0,1,1,0,0,0,0
35,115,"Jain Shikanji",1,0,1,1,1,0,0,1,1,0,40,30,0
35,116,Woloo,0,0,0,0,0,0,0,3,1,2,0,0,0
35,117,"Elcare India",0,0,0,0,0,0,0,3,2,1,0,0,0
